name,meaning,name_origin,meaning_origin,birth_flower,trivia,image_url
アンズ（杏）,"臆病な愛,乙女のはにかみ,疑い,疑惑",中国から日本へ伝わった際、「唐桃（カラモモ）」などと呼ばれましたが、漢名の「杏子」の読み方が変化してアンズになったと言われています。,桜よりも少し早く、春の訪れを告げるように恥ずかしげに薄紅色の花を咲かせる姿が、少女のようであることから「乙女のはにかみ」。美味しそうな実なのに酸味が強かったり、古い言い伝えの影響から「疑い」という少し複雑な意味も持っています。,"2月23日,3月1日,4月12日,10月2日",バラ科。中国原産。種の殻を割ると出てくる「仁（杏仁）」は、咳止めの漢方薬になったり、美味しい杏仁豆腐の香り付けに使われたりします。,https://upload.wikimedia.org/wikipedia/commons/d/df/Apricot_flower.jpg
アンスリウム,"情熱,煩悩,恋にもだえる心,印象深い",ギリシャ語の「花（anthos）」と「尾（oura）」を組み合わせた言葉。真ん中にある棒状の部分（肉穂花序）が、動物の尾のように見えることから。,ハート型をした赤やピンクの鮮やかな部分（仏炎苞）が、燃え上がるような激しい恋心を連想させるため「情熱」「恋にもだえる心」。そのプラスチックのような独特の光沢と派手な姿は、一度見たら忘れられないインパクトがあるため「印象深い」とされます。,"1月22日,3月17日,8月8日,12月16日",サトイモ科。熱帯アメリカ原産。ハワイではバレンタインデーに贈る花として定番です。観葉植物としても人気で、南国ムードを演出してくれます。,https://upload.wikimedia.org/wikipedia/commons/d/d2/Anthurium.andraeanum.jpg
アンモビウム,"不変の誓い,永遠の悲しみ",ギリシャ語で「砂（ammos）」と「生活（bios）」を合わせた名前。乾燥した砂地で育つことに由来します。和名は「貝細工」。,花びらがカサカサしていて水分が少なく、ドライフラワーにしても色や形がほとんど変わらないことから「不変の誓い」。一方で、生きている時から乾いた質感であることが、生気のない悲しげな様子に見えるため「永遠の悲しみ」とも言われます。,"5月9日,7月24日",キク科。オーストラリア原産。別名「カイザイク」。帝政ロシア時代には、変わらぬ愛の証として人々の間で流行したというロマンチックな歴史があります。,https://upload.wikimedia.org/wikipedia/commons/2/29/Xerochrysum_bracteatum_macro.jpg
アーモンド,"真実の愛,希望,愚かさ,無分別",ヘブライ語で「目覚める」を意味する言葉が語源とされ、冬の眠りから覚めて真っ先に花を咲かせることにちなんでいます。,春、葉が出るよりも先に急いで花を咲かせる様子が、後先考えないせっかちな行動に見えることから「無分別」「愚かさ」。しかし、旧約聖書では神の奇跡によって枯れ木に花が咲いた「アロンの杖」がアーモンドの木だったことから、「希望」「真実の愛」の象徴でもあります。,3月14日,バラ科。アジア西南部原産。桜にそっくりな美しい花を咲かせます。ビタミンEたっぷりのナッツとして有名ですが、植物としては桃の親戚です。,https://upload.wikimedia.org/wikipedia/commons/e/ee/Almond_flowers.jpg
アナナス,"たくわえる,あなたは完全,私にとってあなたは最愛",現地の言葉でパイナップルを意味する「nanas」が由来。パイナップル科の植物の総称として使われます。,葉の根元が筒状になっていて、そこに水を溜めて生きるユニークな性質から「たくわえる」。南国特有の鮮やかな苞（ほう）が長く美しい色を保つ姿から、欠点のない美しさとして「あなたは完全」と称えられます。,"1月17日,12月15日",パイナップル科。熱帯アメリカ原産。花のように見える赤や黄色の部分は「苞（ほう）」と呼ばれる葉の変化したもので、本当の花はその中に小さく咲いています。,https://upload.wikimedia.org/wikipedia/commons/0/07/Aechmea_fasciata_bgiu.jpg
アネモネ,"はかない恋,見捨てられた,真実,君を愛す",ギリシャ語の「風（anemos）」が語源。「風の娘」とも呼ばれ、春風と共に咲き、風が吹けば散ってしまう儚さから名付けられました。,女神アプロディーテに愛された美少年アドニスが、狩りで命を落とした際に流した血から咲いたという悲しい神話に由来します。愛する人を失った女神の嘆きと、永遠の別れから「はかない恋」「見捨てられた」という切ない意味が生まれました。,"3月12日,3月13日,4月6日",キンポウゲ科。地中海沿岸原産。十字軍がヨーロッパに持ち帰ったと言われています。花びらに見えるのは実はガク。植物全体に毒成分を含んでいます。,https://upload.wikimedia.org/wikipedia/commons/6/6f/Anemone_coronaria_1.jpg
アブチロン,"尊敬,良い便り,推測,憶測",語源には諸説あり、家畜の下痢止めや牡牛を意味するギリシャ語などが挙げられます。和名は花が浮かんでいるように見える「浮釣木（ウキツリボク）」です。,赤いランプのような花が、細い枝からぶら下がって下を向く姿が、何か深く考え事をしているように見えるため「憶測」「推測」。一方で、鮮やかな色の花が人目を引く立派な姿であることから「尊敬」ともされます。,"1月10日,9月8日",アオイ科。熱帯原産。花の中から黄色い雄しべが突き出しているのが特徴的です。熱帯植物ですが、比較的寒さにも強く育てやすい植物です。,https://upload.wikimedia.org/wikipedia/commons/7/75/Abutilon_megapotamicum_3.jpg
アベリア,"強運,謙虚,謙譲",19世紀に中国を訪れたイギリスの植物学者、クラーク・エーベルの名前にちなんで名付けられました。,春から秋の終わりまで、長期間にわたって次々と新しい花を咲かせ続ける驚異的な生命力から「強運」。花自体は小さく白く、控えめに甘い香りを漂わせる姿から「謙虚」の意味も持っています。,"7月7日,9月18日,11月25日",スイカズラ科。中国原産。排気ガスに強いため、道路脇の植え込みによく使われます。花が散った後も、ガクがプロペラのような形で残るのが可愛らしい特徴です。,https://upload.wikimedia.org/wikipedia/commons/2/23/Abelia_x_grandiflora_02.jpg
アマチャ（甘茶）,"祝杯,至福のとき,もてなし",葉を乾燥させて煎じると砂糖のような強い甘みが出ることから「甘茶」。見た目はガクアジサイによく似ています。,4月8日の花祭り（お釈迦様の誕生日）に、甘茶を仏像にかけて祝う習慣があることから、神聖な喜びの「祝杯」。また、訪問客をもてなす特別なお茶として振る舞われた歴史から「もてなし」とも言われます。,"4月5日,8月23日",アジサイ科。日本原産。甘み成分は天然甘味料として利用されています。実は若い木の葉には甘みがなく、成長してから初めて甘くなるという不思議な性質があります。,https://upload.wikimedia.org/wikipedia/commons/e/eb/Hydrangea_macrophylla_var._thunbergii.jpg
アマリリス,"誇り,おしゃべり,輝くばかりの美しさ,内気",ギリシャ神話に登場する、羊飼いの少年に恋をした美しい少女「アマリリス」の名前に由来しています。,片思いを叶えるために神のお告げに従い、自らを矢で傷つけて血を流した少女アマリリスの、激しくも純粋な恋心から「内気」「誇り」。花が横一列に並んで咲く様子が、おしゃべりに興じているように見えることから「おしゃべり」とも。,"1月26日,2月24日,5月28日,7月16日",ヒガンバナ科。南米原産。太い茎の先に大きな花を咲かせるインパクトのある球根植物です。赤や白、ピンクなど、園芸品種が非常に豊富です。,https://upload.wikimedia.org/wikipedia/commons/2/22/Amaryllis_hippeastrum.jpg
アメリカンブルー,"あふれる思い,清潔,清涼感,ふたりの絆",1980年代にアメリカから日本へ輸入された際、その美しい青色にちなんで名付けられた通称です。本名は「エボルブルス」。,真夏の炎天下でも、鮮やかな青い小花が次々と咲き続け、株全体を覆い尽くす様子が、溢れ出る感情に見えることから「あふれる思い」。その涼しげなブルーが、暑い季節に爽やかな風を運んでくれるようです。,"6月25日,7月6日,10月14日",ヒルガオ科。南北アメリカ原産。地面を這うように横に広がる性質があり、夏の花壇を青いカーペットのように彩るグランドカバーとして愛されています。,https://upload.wikimedia.org/wikipedia/commons/f/ff/Evolvulus_pilosus_bgiu.jpg
アヤメ（文目）,"よい便り,朗報,優雅な心,神秘的な人",花びらの根元に網目（文目）模様があることから「アヤメ」と呼ばれます。剣のような葉が並ぶ様子からという説もあります。,虹の女神イリスが神々の伝令役であったことから「よい便り」。雨上がりの水辺でしっとりと咲く紫色の姿が、日本的な情緒とどこかミステリアスな雰囲気を漂わせることから「神秘的な人」とされました。,"5月5日,5月10日,6月6日",アヤメ科。日本や北東アジア原産。乾燥した土地を好みます。「いずれアヤメかカキツバタ」と言われるほど、カキツバタやハナショウブと見分けるのが難しい花です。,https://upload.wikimedia.org/wikipedia/commons/b/b3/Iris_sanguinea_2.jpg
アラマンダ,"恋に落ちる前,隠された美,楽しい追憶",18世紀のオランダの植物学者フレデリック・アラマンにちなんで名付けられました。和名は「有明葛（アリアケカズラ）」です。,南国の強い日差しの中で、鮮やかな黄色の花を次々と咲かせる眩しい姿が、見る人を虜にすることから「恋に落ちる前」。夜明け（有明）の月のように美しいことから和名がつきました。,"8月10日,10月20日",キョウチクトウ科。南米原産。沖縄などの暖かい地域ではよく見かけるつる植物です。寒さには弱いため、冬越しには暖かい場所が必要です。,https://upload.wikimedia.org/wikipedia/commons/5/5f/Allamanda_cathartica_2.jpg
アイリス（イリス）,"よい便り,希望,信じる心,私は燃えている",ギリシャ神話の虹の女神「イリス」に由来します。英語読みならアイリス、ラテン語読みならイリスです。,ゼウスの求愛から逃れるために、女神ヘラに頼んで虹に変えてもらった侍女イリスの伝説から。彼女が空と地を結ぶ虹の架け橋となり、神々の言葉を伝える役割を担ったことから「よい便り」という花言葉が生まれました。,"3月18日,4月17日,5月10日",アヤメ科。地中海沿岸原産。伝説において、イリスが「どこか遠くへ行きたい」と願ったことから、現状からの脱出や旅立ちを象徴する花でもあります。,https://upload.wikimedia.org/wikipedia/commons/a/a6/Iris_germanica_purple.jpg
アイビー（ヘデラ）,"永遠の愛,友情,不滅,結婚,誠実",ギリシャ語で「しがみつく」や「座る」を意味する言葉が語源です。和名は「木蔦（キヅタ）」と呼ばれます。,一年中緑の葉を茂らせ、壁や木にしっかりと根を張って離れない強い性質から、変わることのない絆を象徴して「永遠の愛」「結婚」。古代ギリシャでは、悪酔いを防ぐお守りとしても知られていました。,"1月21日,12月3日,12月20日",ウコギ科。ヨーロッパ原産。観葉植物として非常にポピュラーです。日陰でも枯れず、どんな環境でもたくましく育つ丈夫な植物です。,https://upload.wikimedia.org/wikipedia/commons/4/44/Hedera_helix_leafs.jpg
アリッサム,"優美,美しさに優る価値,飛躍,仲直り",ギリシャ語で「狂気がない」という意味。昔は狂犬病の治療に使われると信じられていたため、「狂気を消し去るもの」という意味があります。,春になると小さな花がカーペットのように広がり、甘い香りで満たされる様子から「優美」。その香りの良さが、見た目の可愛らしさ以上に価値があるとして「美しさに優る価値」と称えられました。,"1月12日,3月23日,9月24日",アブラナ科。地中海沿岸原産。和名は「庭薺（ニワナズナ）」。本来は白い花ですが、ピンクや紫の園芸品種もあり、春の花壇を優しく彩ります。,https://upload.wikimedia.org/wikipedia/commons/c/c9/Lobularia_maritima_J2.jpg
アリウム,"深い悲しみ,正しい主張,無限の悲しみ",ラテン語で「ニンニク」という意味です。植物全体から、ネギやニンニクに似た独特の香りが漂うことに由来しています。,紫色の小花がボール状に集まって咲く姿が、悲しみに沈んで立ち尽くす人や、溢れ出る涙を連想させることから「深い悲しみ」。一方で、茎が曲がることなく空へ真っ直ぐ伸びる凛とした姿から「正しい主張」という、揺るぎない意思も表しています。,"5月16日,7月23日",ヒガンバナ科。北半球原産。巨大なねぎぼうずのような「ギガンチウム」が有名です。見た目はユニークで観賞価値が高いですが、香りはネギそのもので、仲間であることがよく分かります。,https://upload.wikimedia.org/wikipedia/commons/e/ed/Allium_giganteum_bang.jpg
アルストロメリア,"未来への憧れ,持続,エキゾチック,小悪魔的な思い",南米を旅行中にこの花を見つけた植物学者リンネが、親友であるスウェーデンの男爵、クラース・アルストレーマーの名をつけました。,切り花にしても花持ちが驚くほど良く、長く美しさを保つことから、持続的な幸せや希望を表す「未来への憧れ」。花びらの内側に入る鮮やかな斑点模様が、異国情緒を感じさせるため「エキゾチック」とされました。,"2月18日,3月13日,4月18日",アルストロメリア科。南米原産。別名「百合水仙」。その目を引く華やかさと、人々を惹きつけてやまない魅力から「小悪魔」という花言葉も持っています。,https://upload.wikimedia.org/wikipedia/commons/d/d7/Alstroemeria_aurantiaca_2.jpg
アルメリア,"同情,思いやり,共感",ケルト語で「海の近く」を意味する言葉に由来します。その名の通り、原産地では海岸の砂地や岩場に自生しています。,細い茎のてっぺんに、小さなピンク色の花が身を寄せ合って丸く咲く姿が、厳しい自然環境の中でお互いを励まし、慰め合っているように見えることから「同情」「思いやり」とされました。,"2月29日,3月2日,3月30日",イソマツ科。北半球原産。和名は「浜簪（ハマカンザシ）」。花の形が、女性が髪に飾る可愛らしい簪（かんざし）に似ていることから名付けられました。,https://upload.wikimedia.org/wikipedia/commons/a/a0/Armeria_maritima_Singel_02.jpg
アロエ,"苦痛,万能,健康,悲嘆",アラビア語で「苦い」を意味する「alloeh」が語源です。葉の中にあるゼリー状の汁が、非常に苦いことに由来します。,葉の縁に鋭いトゲがあり触ると痛いことや、汁の強烈な苦さから「苦痛」「悲嘆」。しかし、古くから「医者いらず」と言われるほど薬効が高く、火傷や怪我の万能薬として人々の健康を守ってきたことから「万能」「健康」という感謝の意味も持ちます。,"9月11日,11月22日",ススキノキ科。アフリカ原産。絶世の美女クレオパトラも、アロエの樹液を美容液として愛用していたと言われます。日本には鎌倉時代に伝わりました。,https://upload.wikimedia.org/wikipedia/commons/8/87/Aloe_arborescens_flower.jpg
アングレカム,"祈り,いつまでもあなたと一緒",マレー語で「着生する」を意味する言葉がラテン語化したものです。樹木や岩肌に根を張って育つランの仲間であるためです。,星のような形をした純白の花が、夜になると甘い香りを放ち、その姿が夜空に向かって静かに祈りを捧げているように見えることから「祈り」。進化論のダーウィンが、この花の蜜を吸える特別な蛾がいるはずだと予言し、後に実在が確認されたことでも有名です。,"11月22日,12月14日",ラン科。アフリカ、マダガスカル原産。「ダーウィンの蘭」や「ベツレヘムの星」とも呼ばれ、クリスマスの時期に咲く聖なる花として知られています。,https://upload.wikimedia.org/wikipedia/commons/9/91/Angraecum_sesquipedale_Orchi_003.jpg
アンジェリカ,"インスピレーション,和気あいあい",ラテン語の「angelus（天使）」に由来します。中世ヨーロッパで疫病が大流行した際、夢に現れた天使がこの草の薬効を教えてくれたという伝説があります。,天使が人々を救うために地上にもたらした聖なる植物という伝説から、天からのひらめきを意味する「インスピレーション」。また、小さな花が傘のように集まって咲く姿が、人々が楽しく集まっている様子を連想させ「和気あいあい」とされました。,"6月13日,9月9日",セリ科。北半球の寒冷地原産。和名は「西洋当帰（セイヨウトウキ）」。フキに似た茎を砂糖漬けにした「アンゼリカ」は、お菓子の材料として親しまれています。,https://upload.wikimedia.org/wikipedia/commons/1/1a/Angelica_archangelica_flower.jpg
アンズ（杏）,"臆病な愛,乙女のはにかみ,疑い,疑惑",中国から日本へ伝わった際、「唐桃（カラモモ）」などと呼ばれましたが、漢名の「杏子」の読み方が変化してアンズになったと言われています。,桜よりも少し早く、春の訪れを告げるように恥ずかしげに薄紅色の花を咲かせる姿が、少女のようであることから「乙女のはにかみ」。実が美味しそうなのに酸味が強かったり、古い言い伝えの影響から「疑い」という少し複雑な意味も持っています。,"2月23日,3月1日,4月12日,10月2日",バラ科。中国原産。種の殻を割ると出てくる「仁（杏仁）」は、咳止めの漢方薬になったり、美味しい杏仁豆腐の香り付けに使われたりします。,https://upload.wikimedia.org/wikipedia/commons/d/df/Apricot_flower.jpg
アンスリウム,"情熱,煩悩,恋にもだえる心,印象深い",ギリシャ語の「花（anthos）」と「尾（oura）」を組み合わせた言葉。真ん中にある棒状の部分（肉穂花序）が、動物の尻尾のように見えることから。,ハート型に見える赤やピンクの鮮やかな部分（仏炎苞）が、燃え上がるような激しい恋心を連想させるため「情熱」「恋にもだえる心」。そのプラスチックのような独特の光沢と派手な姿は、一度見たら忘れられないインパクトがあるため「印象深い」とされます。,"1月22日,3月17日,8月8日,12月16日",サトイモ科。熱帯アメリカ原産。ハワイではバレンタインデーに贈る花として定番です。観葉植物としても人気で、南国ムードを演出してくれます。,https://upload.wikimedia.org/wikipedia/commons/d/d2/Anthurium.andraeanum.jpg
アンモビウム,"不変の誓い,永遠の悲しみ",ギリシャ語で「砂（ammos）」と「生活（bios）」を合わせた名前。乾燥した砂地で育つことに由来します。和名は「貝細工」。,花びらがカサカサしていて水分が少なく、ドライフラワーにしても色や形がほとんど変わらないことから「不変の誓い」。一方で、生きている時から乾いた質感であることが、生気のない悲しげな様子に見えるため「永遠の悲しみ」とも言われます。,"5月9日,7月24日",キク科。オーストラリア原産。別名「カイザイク」。帝政ロシア時代には、変わらぬ愛の証として人々の間で流行したというロマンチックな歴史があります。,https://upload.wikimedia.org/wikipedia/commons/2/29/Xerochrysum_bracteatum_macro.jpg
アーモンド,"真実の愛,希望,愚かさ,無分別",ヘブライ語で「目覚める」を意味する言葉が語源とされ、冬の眠りから覚めて真っ先に花を咲かせることにちなんでいます。,春、葉が出るよりも先に急いで花を咲かせる様子が、後先考えないせっかちな行動に見えることから「無分別」「愚かさ」。しかし、旧約聖書では神の奇跡によって枯れ木に花が咲いた「アロンの杖」がアーモンドの木だったことから、「希望」「真実の愛」の象徴でもあります。,3月14日,バラ科。アジア西南部原産。桜にそっくりな美しい花を咲かせます。ビタミンEたっぷりのナッツとして有名ですが、植物としては桃の親戚です。,https://upload.wikimedia.org/wikipedia/commons/e/ee/Almond_flowers.jpg
イカリソウ（碇草）,"君を離さない,旅立ち,あなたを捕まえる",4枚の花びらが突き出し、そのユニークな形が船を停める「錨（いかり）」にそっくりであることから名付けられました。,船の錨のような形をしていることから、船を海底にしっかり固定する（離さない）という意味で「君を離さない」。また逆に、船が錨を上げて海へ出て行くイメージから「旅立ち」という、正反対の意味も持っています。,"3月13日,3月20日,4月5日",メギ科。日本原産。古くから滋養強壮の薬草として知られ、漢方では「淫羊藿（インヨウカク）」と呼ばれます。精力剤に使われる成分が含まれています。,https://upload.wikimedia.org/wikipedia/commons/e/ec/Epimedium_grandiflorum_var._thunbergii_2.jpg
イキシア,"団結,誇り高い精神,秘めた恋",ギリシャ語の「とりもち（ixos）」に由来します。茎や葉を傷つけると、ネバネバした粘着質の液が出るためです。,細い茎にたくさんの花が並んで咲く様子や、ネバネバした液でくっつく性質から「団結」。鮮やかな花が人目を引く一方で、夜や曇りの日には花を閉じてしまう控えめな性質から「秘めた恋」とも言われます。,"3月18日,4月19日,5月16日",アヤメ科。南アフリカ原産。別名「槍水仙（ヤリズイセン）」。針金のように細い茎に、幾何学的で鮮やかな美しい花を咲かせます。,https://upload.wikimedia.org/wikipedia/commons/3/3d/Ixia_maculata.jpg
イソギク（磯菊）,"友情,大切に思う,静かな喜び",海岸の崖や岩場、つまり「磯」に自生する菊であることから、そのまま「イソギク」と名付けられました。,厳しい環境の岩場で、黄色い小さな花が寄り添うように集まって咲く姿が、互いを支え合う親友同士のように見えることから「友情」「大切に思う」という温かい言葉が生まれました。,"11月17日,12月4日",キク科。日本固有種で、主に関東から東海の海岸で見られます。花びら（舌状花）がなく、筒状の黄色い部分だけの珍しい菊です。葉の縁が白く縁取られていておしゃれです。,https://upload.wikimedia.org/wikipedia/commons/6/60/Chrysanthemum_pacificum_bgiu.jpg
イソトマ,"猛毒,強烈な誘惑,心を開く,親善",花びらが5つにきれいに裂けていることから、ギリシャ語の「等しい（isos）」と「切片（toma）」を組み合わせて名付けられました。,星のような形の青紫色の花が爽やかで、語りかけてくるように見えることから「心を開く」。しかし、茎を折ると出る白い液には毒があり、かぶれることがあるため「猛毒」「強烈な誘惑」という危険な一面も持っています。,"5月26日,6月28日",キキョウ科。オーストラリア原産。その涼しげな見た目から夏の花壇で人気ですが、手入れをする際は手袋をするなど注意が必要です。,https://upload.wikimedia.org/wikipedia/commons/5/5e/Isotoma_axillaris0.jpg
イタドリ（虎杖）,"回復,見かけによらない",若葉を揉んで患部に当てると痛みが取れることから「痛み取り」が変化して「イタドリ」になったと言われています。,名前の由来通り、痛みを取る薬効があることから「回復」。茎の中が空洞で折れやすいのに、コンクリートさえ突き破るほど強靭な生命力を持つことから、見た目とのギャップで「見かけによらない」とされます。,"4月23日,9月26日",タデ科。日本や東アジア原産。春の山菜として美味しく食べられますが、世界的には侵略的外来種として恐れられるほど、ものすごい繁殖力を持っています。,https://upload.wikimedia.org/wikipedia/commons/a/a2/Reynoutria_japonica.jpg
イチイ（一位）,"高尚,悲しみ,慰め,残念",かつて仁徳天皇にこの木で作った笏（しゃく）を献上したところ、素晴らしかったため最高位の「正一位」を授けられたという伝説に由来します。,欧米では教会や墓地に植えられることが多く、死を悼む木としてのイメージから「悲しみ」「慰め」。毒性があることや、死に関連づけられることから「残念」という少し暗い意味も持っています。,"9月22日,10月21日",イチイ科。日本、北半球原産。別名「アララギ」。木材としては最高級品ですが、種や葉にはタキシンという猛毒が含まれているので注意が必要です。,https://upload.wikimedia.org/wikipedia/commons/e/e3/Taxus_baccata_berries.jpg
イチゴ（苺）,"尊重と愛情,幸福な家庭,先見の明,あなたは私を喜ばせる",詳しい語源は不明ですが、野イチゴを指す古語「イチビコ」が転じたとされます。「苺」という漢字に「母」が入っているのは、次々と子株を増やして繁栄するためと言われます。,親株からつる（ランナー）を伸ばして、子株がどんどん増えていく様子から「幸福な家庭」。冬の間は雪の下でじっと耐え、春になると他の植物に先駆けて実をつけることから「先見の明」とされます。,"3月31日,4月13日,5月4日",バラ科。現在食べられているイチゴは、アメリカ大陸原産の種を交配して作られました。私たちが食べている赤い部分は実ではなく、花の一部が大きくなったものです。,https://upload.wikimedia.org/wikipedia/commons/3/35/Strawberry_flower_and_runner.jpg
イチジク（無花果）,"多産,実りある恋,裕福,議論",外から花が見えず、いきなり実がなるように見えるため「無花果」。実際は実の中に小さな花が無数に咲いています。,一つの木にたくさんの実を実らせることから「多産」「裕福」。旧約聖書でアダムとイブが裸を隠すためにイチジクの葉を使ったことから、羞恥心や、食べるべきか否かなどの「議論」の象徴ともなりました。,"4月5日,4月10日",クワ科。アラビア南部原産。「不老長寿の果物」とも呼ばれます。実の中にあるプチプチした粒の一つ一つが、実は花なのです。,https://upload.wikimedia.org/wikipedia/commons/2/29/Ficus_carica_Leaves.jpg
イチョウ（銀杏）,"荘厳,長寿,鎮魂,詩的な愛",葉の形がアヒルの足に似ていることから、中国語の「鴨脚（イアチャオ）」が変化して「イチョウ」になったと言われています。,樹齢1000年を超えるような巨木が多く、種（銀杏）を残して長く繁栄し続けることから「長寿」「荘厳」。神社仏閣によく植えられ、長い時を見守ってきた存在感から「鎮魂」のシンボルとされます。,"10月26日,11月21日",イチョウ科。中国原産。「生きた化石」と呼ばれるほど古い起源を持つ植物です。雄の木と雌の木があり、美味しい銀杏がなるのは雌の木だけです。,https://upload.wikimedia.org/wikipedia/commons/a/ad/Ginkgo_biloba_leaves_and_seeds.jpg
イヌサフラン,"私の最良の日々は過ぎ去った,危険な美しさ,悔いなき青春",サフランに似ていますが、全く別の植物であり、役に立たないという意味で「イヌ」と名付けられました。,春に葉だけが茂り、夏に一度枯れた後、秋になって花だけが突然咲くという変わった生態から、若かった頃（葉があった頃）を懐かしむ「私の最良の日々は過ぎ去った」。美しいですが猛毒を持つため「危険な美しさ」とも。,"9月21日,10月8日",イヌサフラン科。ヨーロッパ原産。別名「コルチカム」。球根や種にコルヒチンという猛毒を含んでおり、誤って食べてしまう事故が起きることもある危険な植物です。,https://upload.wikimedia.org/wikipedia/commons/1/14/Colchicum_autumnale_0.5_R.jpg
イベリス,"心を惹きつける,初恋の思い出,甘い誘惑",スペインの古い呼び名「イベリア」が語源で、この地域に多く自生していたことに由来します。和名は茎が曲がることから「屈曲花（マガリバナ）」。,太陽の光を追って花茎が曲がる性質（向日性）があり、その姿が愛する人の心を一生懸命引き寄せようとしているように見えることから「心を惹きつける」。また、甘い芳香を放つことから「甘い誘惑」とも言われます。,"3月14日,3月22日,5月14日",アブラナ科。南ヨーロッパ原産。4枚の花びらのうち、外側の2枚だけが大きく、内側が小さいという独特の非対称な形がチャームポイントです。,https://upload.wikimedia.org/wikipedia/commons/6/67/Iberis_sempervirens.jpg
イワウチワ（岩団扇）,"春の使者,適応力",岩場に生えていて、葉っぱの形が団扇（うちわ）に似ていることから、そのまま「岩団扇」と名付けられました。,雪解けと同時に、他の植物より一足先に岩場から顔を出し、可憐なピンク色の花を咲かせることから「春の使者」。厳しい岩場の環境でもしっかりと根を張って生きる姿から「適応力」とされています。,4月3日,イワウメ科。日本固有種（主に関東より北）。山野草ファンに人気が高いですが、栽培が難しく、野生のものが乱獲されて減少しているのが問題になっています。,https://upload.wikimedia.org/wikipedia/commons/e/e9/Shortia_uniflora_2.jpg
イワカガミ（岩鏡）,"忠実,けなげ",岩場に自生し、丸い葉に光沢があってピカピカと鏡のように光ることから「岩鏡」と呼ばれます。,高山の厳しい自然環境の中、岩にへばりつくようにして一生懸命に花を咲かせる姿から「けなげ」。置かれた環境に文句を言わず適応して生きる姿が「忠実」と表現されました。,"4月27日,5月28日",イワウメ科。日本原産。高山植物の代表的な存在です。ピンク色の花びらの先が細かく裂けてフリルのようになっているのが可愛らしい特徴です。,https://upload.wikimedia.org/wikipedia/commons/0/07/Schizocodon_soldanelloides_f._soldanelloides_2.jpg
インパチェンス,"鮮やかな人,強い個性,短気,私に触れないで",ラテン語の「我慢できない（impatient）」に由来します。熟した種に少し触れただけで、種が勢いよく弾け飛ぶ性質があるためです。,日陰でもパッと目を引く鮮やかな色の花を咲かせ、周囲を明るくすることから「鮮やかな人」。種が成熟すると、指で触れた瞬間にパチンと弾け飛ぶ様子が、癇癪（かんしゃく）持ちの人が爆発する様子に見えるため「短気」「私に触れないで」となりました。,"5月3日,7月25日,9月6日",ツリフネソウ科。アフリカ原産。別名「アフリカホウセンカ」。日当たりが悪い場所でもよく咲くため、シェードガーデンの主役として重宝されます。,https://upload.wikimedia.org/wikipedia/commons/7/7f/Impatiens_walleriana_bgiu.jpg
ウィンターコスモス,"調和,忍耐,真心,淡い恋",秋から冬にかけて、コスモスによく似た黄色い花を咲かせることからこの名がつきました。学名は「ビデンス」。,寒さが厳しくなってくる季節に、温かみのある黄色い花を咲かせて景色に溶け込む姿から「調和」。冷たい風に吹かれてもじっと耐えて咲く姿から「忍耐」「真心」という温かい花言葉が生まれました。,"10月15日,11月20日",キク科。北米原産。コスモスという名前ですが、植物学的には別グループです。非常に丈夫で、暖かい地域なら真冬でも元気に花を咲かせ続けるガーデニングの強い味方です。,https://upload.wikimedia.org/wikipedia/commons/e/e0/Bidens_laevis_flower.jpg
ウコン（鬱金）,"あなたの姿に酔いしれる,乙女の香り,強運",根茎の鮮やかな黄色から、鮮黄色を意味する「鬱金（うこん）」と名付けられました。英語名はターメリックです。,カレーのスパイスやたくあんの色付けに使われるほか、古くから二日酔いの薬としてお酒の席に欠かせないことから「あなたの姿に酔いしれる」。その鮮やかな黄金色が金運や幸運を招くと信じられ「強運」の象徴ともされています。,"6月13日,8月5日,10月28日",ショウガ科。熱帯アジア原産。花は白やピンク色の美しい姿をしていますが、大きな葉の間に隠れるように咲くためあまり知られていません。根に含まれるクルクミンが健康成分です。,https://upload.wikimedia.org/wikipedia/commons/1/1a/Curcuma_longa_flower.jpg
エーデルワイス,"大切な思い出,勇気,高貴,忍耐",ドイツ語の「高貴な（edel）」と「白（weiß）」を組み合わせた名前です。「アルプスの星」とも呼ばれます。,アルプスの断崖絶壁など、人が簡単には行けない高地に咲くため、昔の男性がこの花を採ってきてプロポーズすることが、愛の深さと「勇気」の証明とされました。多くの登山家が憧れ、命がけで求めた花であることから「大切な思い出」とも。,"2月13日,2月19日,5月1日",キク科。ヨーロッパアルプス原産。花全体が白いフワフワした毛で覆われているのは、高山の寒さや乾燥、強い紫外線から身を守るための工夫です。映画『サウンド・オブ・ミュージック』の歌でも有名ですね。,https://upload.wikimedia.org/wikipedia/commons/3/30/Leontopodium_alpinum_003.jpg
